uke_start,yhat,yhat_low,yhat_high
2024-06-03,107.67217527704398,84.59709416333763,130.74725639075032
2024-06-10,105.9620604531583,82.88697933955197,129.03714156676463
2024-06-17,114.29510966537066,91.22002855179227,137.37019077894905
2024-06-24,118.12317273324501,95.04809161967415,141.19825384681587
2024-07-01,120.72416215434914,97.64908104078059,143.7992432679177
2024-07-08,115.34817075902201,92.27308964545387,138.42325187259016
2024-07-15,104.08608005396184,81.01099894039403,127.16116116752964
2024-07-22,109.3405878624128,86.26550674884487,132.41566897598074
2024-07-29,110.11216010720156,87.03707899363381,133.1872412207693
2024-08-05,109.12795863085049,86.05287751728257,132.2030397444184
2024-08-12,106.23807912931248,83.16299801574473,129.31316024288023
2024-08-19,88.5049944316654,65.42991331809748,111.58007554523331
2024-08-26,75.82840334545863,52.753322231890884,98.90348445902637
2024-09-02,70.51975321888645,47.44467210531853,93.59483433245437
2024-09-09,73.59881861086166,50.523737497293915,96.67389972442939
2024-09-16,65.61101704683448,42.53593593326656,88.6860981604024
2024-09-23,68.04807316997314,44.972992056405396,91.12315428354088
2024-09-30,71.34576319317773,48.27068207960981,94.42084430674565
2024-10-07,77.81753715600723,54.74245604243949,100.89261826957497
2024-10-14,80.41406108925563,57.33897997568771,103.48914220282354
2024-10-21,79.11857748060183,56.04349636703409,102.19365859416956
2024-10-28,79.74190925236022,56.6668281387923,102.81699036592813
2024-11-04,82.38833303033229,59.31325191676455,105.46341414390002
2024-11-11,79.83446033295517,56.759379219387256,102.9095414465231
2024-11-18,80.98018247247168,57.90510135890394,104.05526358603942
2024-11-25,82.7934142927385,59.718333179170656,105.86849540630635
2024-12-02,84.66034643474808,61.585265321183144,107.73542754831301
2024-12-09,85.95396079385156,62.87887968040771,109.02904190729542
2024-12-16,84.54453401646846,61.46945290532802,107.61961512760891
2024-12-23,82.3784932264652,59.303756574137154,105.45322987879324
2024-12-30,87.20680672737087,64.13438412848713,110.27922932625462
2025-01-06,89.29204386551177,66.22114336594754,112.362944365076
2025-01-13,90.34053595455538,67.27138384390513,113.40968806520563
2025-01-20,87.99526919974475,64.92779432823531,111.0627440712542
2025-01-27,89.75767378063316,66.69189805051178,112.82344951075453
2025-02-03,93.13410410836684,70.07002092658655,116.19818729014713
2025-02-10,97.94070635171207,74.87831790872266,121.00309479470147
2025-02-17,101.09528031545568,78.03458609971686,124.1559745311945
2025-02-24,99.13651730649549,76.07751763848219,122.19551697450879
2025-03-03,100.47106440975455,77.41375935228122,123.52836946722788
2025-03-10,99.92417066764263,76.86856036226708,122.97978097301818
2025-03-17,120.62908892269327,97.573858895633,143.68431894975353
2025-03-24,131.64252127170786,108.58739646282564,154.6976460805901
2025-03-31,122.44645909966184,99.39136343698675,145.50155476233692
2025-04-07,110.44100245554233,87.38591486916565,133.49609004191902
2025-04-14,105.9759379153333,82.92085256706531,129.0310232636013
2025-04-21,100.20809558473732,77.15301085671072,123.26318031276392
2025-04-28,99.47578817376174,76.4207036176221,122.53087272990139
2025-05-05,98.01628662054333,74.96120211203888,121.07137112904778
2025-05-12,94.3407524900736,71.28566799477011,117.39583698537709
2025-05-19,91.57345268961438,68.51836819796945,114.62853718125932
2025-05-26,85.64644825380857,62.59136376317736,108.70153274443979
2025-06-02,88.48016393896523,65.42507944861512,111.53524842931535
2025-06-09,83.73116608925793,60.67608159898555,106.7862505795303
2025-06-16,75.7380770277253,52.68299253747463,98.79316151797596
2025-06-23,66.00876624038312,42.95368175013831,89.06385073062793
2025-06-30,70.71077510001514,47.65569060977212,93.76585959025816
2025-07-07,88.10739112550614,65.05230663526343,111.16247561574885
2025-07-14,76.22608202284235,53.17099753259991,99.28116651308478
2025-07-21,58.990899419116644,35.93581492887411,82.04598390935918
2025-07-28,59.76386267404688,36.70877818380448,82.81894716428927
2025-08-04,61.53982787692186,38.484743386679334,84.5949123671644
2025-08-11,60.58286996576628,37.527785475523885,83.63795445600867
2025-08-18,53.643122605543425,30.5880381153009,76.69820709578595
2025-08-25,57.57697364921275,34.52188915897037,80.63205813945514
2025-09-01,71.30567381082261,48.25058932058009,94.36075830106513
2025-09-08,63.47524231754763,40.420157827305246,86.53032680779002
2025-09-15,59.09395524371896,36.03887075347643,82.14903973396149
2025-09-22,62.38501255827326,39.32992806803087,85.44009704851565
2025-09-29,58.97154560679003,35.91646111654751,82.02663009703255
2025-10-06,64.77577908115629,41.720694590913894,87.83086357139868
2025-10-13,62.89614382467317,39.84105933443064,85.9512283149157
2025-10-20,58.187691894539746,35.13260740429736,81.24277638478213
2025-10-27,62.0415439707231,38.986459480480576,85.09662846096562
2025-11-03,66.12750321863959,43.072418728397196,89.18258770888198
2025-11-10,68.99240057247822,45.9373160822357,92.04748506272074
2025-11-17,72.87159516815649,49.816510677914096,95.92667965839888
2025-11-24,80.11162464603692,57.05654015579444,103.1667091362794
2025-12-01,84.24964786947291,61.1945633792327,107.30473235971311
2025-12-08,88.08780121116303,65.03271672101707,111.14288570130898
2025-12-15,91.02777946445056,67.97269497609776,114.08286395280336
2025-12-22,92.38094263993658,69.32612676887058,115.43575851100258
2025-12-29,91.78465480325337,68.7316434640731,114.83766614243365
2026-01-05,88.75564887329924,65.70382446722243,111.80747327937604
2026-01-12,91.82861326619553,68.77815223263639,114.87907429975468
2026-01-19,92.21378784084777,69.1646346767518,115.26294100494374
2026-01-26,89.09318910751261,66.0453608704138,112.14101734461143
2026-02-02,91.36167526247016,68.31516679004487,114.40818373489545
2026-02-09,95.76536280589195,72.72017578482806,118.81054982695585
2026-02-16,93.62272277958684,70.57885678969399,116.66658876947969
2026-02-23,102.71340119958857,79.67085646941898,125.75594592975817
2026-03-02,105.87360601022955,82.83238256742563,128.91482945303346
2026-03-09,96.7122251178938,73.67232305148664,119.75212718430095
